model,language,bucket,n_flags,tp,fp,precision,mean_entropy_overall,mean_entropy_tp,mean_entropy_fp
e4b_conformer5s_text_nothinking,tamil,0.8-1.0,16,7,9,0.44,0.02,0.0,0.04
e4b_conformer5s_text_nothinking,telugu,0.0-0.2,1,0,1,0.0,0.05,,0.05
e4b_conformer5s_text_nothinking,telugu,0.2-0.4,0,0,0,,,,
e4b_conformer5s_text_nothinking,telugu,0.4-0.6,0,0,0,,,,
e4b_conformer5s_text_nothinking,telugu,0.6-0.8,2,0,2,0.0,0.01,,0.01
e4b_conformer5s_text_nothinking,telugu,0.8-1.0,35,15,20,0.43,0.02,0.01,0.03
e4b_conformer5s_text_nothinking,ALL,0.0-0.2,1,0,1,0.0,0.05,,0.05
e4b_conformer5s_text_nothinking,ALL,0.2-0.4,0,0,0,,,,
e4b_conformer5s_text_nothinking,ALL,0.4-0.6,3,0,3,0.0,0.05,,0.05
e4b_conformer5s_text_nothinking,ALL,0.6-0.8,11,2,9,0.18,0.02,0.01,0.03
e4b_conformer5s_text_nothinking,ALL,0.8-1.0,127,62,65,0.49,0.02,0.01,0.02
gemini-3.5-flash-lite,hindi,0.0-0.2,0,0,0,,,,
gemini-3.5-flash-lite,hindi,0.2-0.4,0,0,0,,,,
gemini-3.5-flash-lite,hindi,0.4-0.6,3,2,1,0.67,,,
gemini-3.5-flash-lite,hindi,0.6-0.8,0,0,0,,,,
gemini-3.5-flash-lite,hindi,0.8-1.0,31,22,9,0.71,,,
gemini-3.5-flash-lite,kannada,0.0-0.2,0,0,0,,,,
gemini-3.5-flash-lite,kannada,0.2-0.4,0,0,0,,,,
gemini-3.5-flash-lite,kannada,0.4-0.6,1,0,1,0.0,,,
gemini-3.5-flash-lite,kannada,0.6-0.8,2,1,1,0.5,,,
gemini-3.5-flash-lite,kannada,0.8-1.0,12,11,1,0.92,,,
gemini-3.5-flash-lite,malayalam,0.0-0.2,0,0,0,,,,
gemini-3.5-flash-lite,malayalam,0.2-0.4,0,0,0,,,,
gemini-3.5-flash-lite,malayalam,0.4-0.6,2,1,1,0.5,,,
gemini-3.5-flash-lite,malayalam,0.6-0.8,0,0,0,,,,
gemini-3.5-flash-lite,malayalam,0.8-1.0,9,6,3,0.67,,,
gemini-3.5-flash-lite,tamil,0.0-0.2,0,0,0,,,,
gemini-3.5-flash-lite,tamil,0.2-0.4,0,0,0,,,,
gemini-3.5-flash-lite,tamil,0.4-0.6,0,0,0,,,,
gemini-3.5-flash-lite,tamil,0.6-0.8,1,1,0,1.0,,,
gemini-3.5-flash-lite,tamil,0.8-1.0,12,9,3,0.75,,,
gemini-3.5-flash-lite,telugu,0.0-0.2,0,0,0,,,,
gemini-3.5-flash-lite,telugu,0.2-0.4,1,1,0,1.0,,,
gemini-3.5-flash-lite,telugu,0.4-0.6,1,0,1,0.0,,,
gemini-3.5-flash-lite,telugu,0.6-0.8,0,0,0,,,,
gemini-3.5-flash-lite,telugu,0.8-1.0,21,17,4,0.81,,,
gemini-3.5-flash-lite,ALL,0.0-0.2,0,0,0,,,,
gemini-3.5-flash-lite,ALL,0.2-0.4,1,1,0,1.0,,,
gemini-3.5-flash-lite,ALL,0.4-0.6,7,3,4,0.43,,,
gemini-3.5-flash-lite,ALL,0.6-0.8,3,2,1,0.67,,,
gemini-3.5-flash-lite,ALL,0.8-1.0,85,65,20,0.76,,,
